county,Predicted_2016_Rev,2015_Rev,%_Change
Adair,42353.24,41980.6596783,-0.879697330636
Adams,10245.14,10608.1333792,3.54307875976
Allamakee,79918.47,86246.6220411,7.91825974783
Appanoose,77033.64,88901.7395174,15.4063854666
Audubon,2869.68,1992.24124052,-30.5761882678
Benton,65228.78,74108.2275339,13.6127757317
Black Hawk,1557627.92,1561231.65962,0.231360748659
Boone,185610.02,191549.408431,3.19992877043
Bremer,166354.53,187889.786921,12.9453985537
Buchanan,143079.86,143835.600955,0.528195201348
Buena Vista,171275.1,165460.759543,-3.39473773862
Butler,25516.37,25335.8493333,-0.707470015019
Calhoun,19175.48,22467.9250108,17.1700787194
Carroll,257297.72,257644.803314,0.13489560438
Cass,101893.07,111174.22695,9.10872245811
Cedar,52590.04,56659.4575855,7.73800055207
Cerro Gordo,565667.24,619493.39103,9.51551499252
Cherokee,49198.66,50843.6567362,3.34358036629
Chickasaw,38866.37,37595.8724825,-3.2688864886
Clarke,67068.36,61538.4627837,-8.24516540479
Clay,142650.51,166327.212726,16.5976993186
Clayton,106795.27,98900.5685197,-7.39236998072
Clinton,335310.35,347330.413074,3.58475754601
Crawford,115143.39,146319.131157,27.0755804193
Dallas,482512.88,448658.712569,-7.01622046463
Davis,11152.82,11446.2667879,2.63114430161
Decatur,15429.46,10034.5111417,-34.9652473794
Delaware,76331.16,87106.566993,14.1166556267
Des Moines,380698.77,359975.555695,-5.44346762787
Dickinson,385989.3,387485.663606,0.387669711588
Dubuque,871675.27,929877.284789,6.67702948476
Emmet,57988.3,62150.9534179,7.17843671555
Fayette,109073.44,127751.202075,17.1240240292
Floyd,96238.89,106341.696008,10.4976335534
Franklin,52772.42,53975.4260075,2.27961122014
Fremont,2654.45,1173.09382405,-55.806520219
Greene,62499.48,63046.1539577,0.874685609654
Grundy,23979.2,22787.8082715,-4.96843818177
Guthrie,30892.34,29357.869251,-4.96715609448
Hamilton,84834.87,90167.5373544,6.28593802807
Hancock,30229.05,36278.3843791,20.0116589144
Hardin,181275.97,199258.518033,9.91998444861
Harrison,52032.24,49360.7476722,-5.13430197848
Henry,114487.32,132265.645744,15.5286417253
Howard,83572.98,93410.6805273,11.7713889432
Humboldt,49753.7,51509.0937438,3.52816723943
Ida,42007.65,43708.8002099,4.04962003327
Iowa,108105.36,120268.55234,11.2512389208
Jackson,124256.69,144242.184697,16.084039175
Jasper,163621.75,173832.697898,6.24058103397
Jefferson,83560.91,81187.642398,-2.84016485942
Johnson,1690044.21,1559981.2186,-7.69583367282
Jones,75193.41,86177.1410363,14.6073053959
Keokuk,14877.96,15238.7512093,2.42500456592
Kossuth,184201.54,202129.148145,9.73260492021
Lee,385855.12,398821.769984,3.36049706539
Linn,2507356.43,2544952.71446,1.49943917076
Louisa,24983.47,20784.8265692,-16.8056856425
Lucas,36768.2,39985.6710046,8.75068946698
Lyon,75914.27,70852.3614259,-6.66792761641
Madison,85182.12,91938.9905791,7.93226392947
Mahaska,98577.37,102510.99421,3.99039273374
Marion,196629.32,202908.656014,3.19348915724
Marshall,260824.08,267228.864738,2.45559564049
Mills,41862.55,45089.5364404,7.70852812457
Mitchell,40905.71,45554.7508116,11.3652612595
Monona,53677.73,57457.9631945,7.04246098809
Monroe,28580.4,26248.2435758,-8.15998524919
Montgomery,66012.77,67963.5700047,2.95518579914
Muscatine,291690.19,291701.798403,0.00397970281216
O'Brien,144714.05,145008.652012,0.203575265968
Osceola,24456.7,24780.0415788,1.32209815229
Page,80360.9,84797.3969969,5.52071591645
Palo Alto,54000.73,55085.8985737,2.00954426667
Plymouth,137332.81,145882.943843,6.22584933834
Pocahontas,32729.45,41503.7291658,26.8085139402
Polk,5927348.91,5636130.84756,-4.91312502207
Pottawattamie,1002933.06,1027790.28467,2.47845301586
Poweshiek,133694.64,123666.671676,-7.50065097897
Ringgold,15447.85,13706.9398897,-11.2695948649
Sac,52885.69,53082.2804956,0.371727201823
Scott,2026893.89,1941659.74092,-4.20516088666
Shelby,92196.85,100435.561059,8.93600058913
Sioux,151777.11,159607.134186,5.15889661214
Story,850774.6,848201.82435,-0.302403909344
Tama,60270.54,65750.9469098,9.09301112908
Taylor,6130.51,5826.27944139,-4.96256524521
Union,91964.12,94524.5937129,2.78420944265
Van Buren,17239.61,14655.14446,-14.9914385534
Wapello,269078.76,267787.759138,-0.479785495529
Warren,223717.26,254140.777461,13.59909265
Washington,143907.46,137150.376585,-4.69543650862
Wayne,11022.08,9812.21028913,-10.9767821579
Webster,359990.48,380343.080444,5.65364963108
Winnebago,67091.48,78157.7615263,16.4943172014
Winneshiek,118943.94,131977.993429,10.9581483753
Woodbury,994395.39,1028178.8296,3.39738497749
Worth,25740.94,34524.8395117,34.124237544
Wright,76552.22,80738.0392406,5.46792665267
