,city,location,company,title,salary,description,low_range,high_range,avg
0,Boulder,"Boulder, CO",CaliberMind,Senior Data Scientist,"[$120,000 ]",The Chief Data Scientist is a critical role in the CaliberMind team. Preferred - PhD in Computer Science including machine learning and data mining....,120000,120000,120000.0
1,Boulder,"Boulder, CO",University of Colorado,Managing Director for STROBE,"[$100,000 ,  $115,000 ]","Of visiting scientists; In use of excel, data analysis and database systems. This is a 100% grant funded position with primary....",100000,115000,107500.0
2,Boulder,"Denver, CO",Denver Public Schools,RESEARCH ANALYST – 16996,"[$57,580 ,  $69,098 ]","Fulfill internal data requests, and coordinates external requests to conduct research within Denver Public Schools....",57580,69098,63339.0
3,Boulder,"Denver, CO",xentity corporation,Government Enterprise Architect,"[$95,000 ,  $127,000 ]","Validate data models (logical and physical) for adherence to data management standards. Maintain a data dictionary containing information about data, including...",95000,127000,111000.0
4,Boulder,"Denver, CO 80226",Patsy's Craft Confections | Summit Soap | Maui Soa...,Food Scientist: Chemistry & Formulations,"[$35,000 ]","Looking for a Food Scientist:. Secondary and/or final quality data review and product release, as well as new analytical method development for identity,...",35000,35000,35000.0
5,Boulder,"Denver, CO",10Roof Technology,"Big Data Developer (Spark, Hadoop, Hive)","[$105,000 ]","Data Scientist, and a UI Developer. Great attitude to learn new technologies and build data applications using Big Data technologies (Greenplum / Hadoop)....",105000,105000,105000.0
6,Boulder,"Denver, CO",Potatoes USA,Global Marketing Manager - Food Manufacturing,"[$85,000 ]",Extensive knowledge and experience analyzing sales and marketing data and presenting in an effective manner....,85000,85000,85000.0
7,Boulder,"Denver, CO",Colorado Community College System,Institutional Research and Data Analyst,"[$55,000 ]","The Institutional Research and Data Analyst's primary responsibility will be to provide development and general support for database queries, the analysis of...",55000,55000,55000.0
8,Boulder,"Boulder, CO",Cameron Craig Group,Analytical Scientist,"[$90,000 ,  $130,000 ]","Liaise with manufacturing, quality, and regulatory counterparts to develop stability protocols for API and drug production batches and manage compilation of...",90000,130000,110000.0
9,San+Francisco,"San Francisco, CA",Blue Owl,Save lives as a software engineer,"[$200,000 ,  $300,000 ]","Experience working closely with data scientists. Created geospatial services before, such as maps data, routing and travel time prediction algorithms, traffic...",200000,300000,250000.0
