,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Atlanta, GA 30338",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",53b7f855d4891e19,Data Scientist,,51.0,1768,3 days,2016-10-17 21:35:57.922634
1,"Atlanta, GA 30339",ASSURANT,"3+ years of relevant experience in analytics, statistical/quantitative modeling and/or machine Learning tools (R, Python, etc) and in using various database...",9ecd8095dd0355f8,Data Scientist,,43.2,1108,11 days,2016-10-17 21:35:57.922634
2,"Atlanta, GA 30306 (Virginia-Highland area)",360i,The Associate Data Scientist will be mentored by senior members of the department with the goal of learning more advanced data science skills such as...,c2b6dcbcb0895072,Associate Data Scientist,,51.0,9,12 days,2016-10-17 21:35:57.922634
3,"Atlanta, GA",Ga. Dept. of Admin. Services,SQL Server knowledge for developing queries and extracting data from relational. Strong data research and analysis skills for the position of Statistical Data....,70f23d3b618d4b8e,Statistical Data Analyst,"$36,000 - $46,000 a year",,,6 days,2016-10-17 21:35:57.922634
4,"Atlanta, GA",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs....",9b253c3eeae5f37a,Analytics Data Scientist,,44.4,3477,11 days,2016-10-17 21:35:57.922634
5,"Atlanta, GA 30339",ASSURANT,"The primary objective of this position is to ensure that Data Analytics COE department delivers fraud analytics and provide data-driven, action-oriented...",ed7467a761020f51,Sr Data Scientist - Fraud,,43.2,1108,2 days,2016-10-17 21:35:57.922634
6,"Atlanta, GA 30303 (Five Points area)",Vesta Corporation,"Or PhD in Computer Science, Statistics, Applied Math, or a quantitative field with a strong background in machine learning and data mining....",24cec20de39398ca,Senior Data Scientist,,40.2,31,10 days,2016-10-17 21:35:57.922634
7,"Atlanta, GA",Centers for Disease Control and Prevention,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",40d8215afa28f4bb,HEALTH SCIENTIST,"$88,305 - $114,802 a year",54.0,64,2 days,2016-10-17 21:35:57.922634
8,"Atlanta, GA",Travelport,"Developing and implementing advanced analytics approaches including statistical modeling, machine learning algorithms, text mining, web analytics etc. to answer...",324aa9db249c02a7,Data Scientist,,51.6,52,30+ days,2016-10-17 21:35:57.922634
9,"Atlanta, GA 30308 (Old Fourth Ward area)",Stackfolio,A competitive full-time salary as well as a great options package that will only be available to this early batch of hires....,be3a7444db34e9a3,Lead Data Scientist,"$80,000 a year",,,30+ days,2016-10-17 21:35:57.922634
10,"Atlanta, GA",CEB,"Serve as an internal subject matter expert, providing support to multiple. And validating assessment content, analyzing data to identify new talent....",c13848ddc3456fc4,Research Scientist,,40.8,72,4 hours,2016-10-17 21:35:57.922634
11,"Atlanta, GA 30306 (Virginia-Highland area)",360i,"Data Scientist will work directly with 360i clients, media teams, and account leadership to improve marketing programs’ performance with advanced analytics....",abb5e77d57d05bfb,Sr Data Scientist,,51.0,9,20 days,2016-10-17 21:35:57.922634
12,"Atlanta, GA",Kabbage,"As a part of the Data Science team, you will develop algorithms that leverage multiple data sources to guide (amongst other things) our underwriting process,...",6e3ccea1c8472429,Data Scientist,,,,30+ days,2016-10-17 21:35:57.922634
13,"Atlanta, GA",Centers for Disease Control and Prevention,"Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic...",381e91ed4599f555,Health Scientist (Informatics),"$104,349 - $135,656 a year",54.0,64,3 days,2016-10-17 21:35:57.922634
14,"Atlanta, GA",Strive Consulting LLC,Preforming SQL queries on large data tables. Strive Consulting has a need for a *Mid/Senior-Level Data Scientist*....,dedd076d3befa2ae,Mid/Sr Data Scientist,,,,7 days,2016-10-17 21:35:57.922634
15,"Atlanta, GA",Cox Automotive,"Interprets problems and develops solutions to business problems using data analysis, data mining, optimization tools, and machine learning techniques and...",4dd0428a36b610d7,Data Scientist,,40.8,42,13 days,2016-10-17 21:35:57.922634
16,"Alpharetta, GA 30005",LexisNexis,3-5+ years demonstrated applied modeling and analytics experience in applicable industry. Strong understanding of statistical methods applied to data analysis....,739ca94e7a0bed05,Statistical Modeler,,43.8,354,6 days,2016-10-17 21:35:57.922634
17,"Atlanta, GA",State Farm Mutual Automobile Insurance Company,"Academic background in quantitative disciplines and methodologies such as applied and computational statistics, text and data mining, artificial intelligence,...",d802e1098386cf76,Research Statistician,,51.0,3358,4 days,2016-10-17 21:35:57.922634
18,"Atlanta, GA 30309 (Midtown area)",HD Supply,"Responsible for modeling complex enterprise problems, discovering enterprise insights and identifying opportunities through the use of statistical, algorithmic,...",5e4122b4e399341b,Data Scientist,,42.0,489,30+ days,2016-10-17 21:35:57.922634
19,"Alpharetta, GA 30005",LexisNexis,Applied modeling and analytics experience in applicable industry. The incumbent also provides analytics consultation and results interpretation across Business...,a55cca05efac758d,Principal Statistical Modeler,,43.8,354,4 days,2016-10-17 21:35:57.922634
20,"Atlanta, GA 30318 (Rockdale area)",Georgia Tech Research Institute,"The Georgia Tech Research Institute's Machine Learning and Analytics branch is looking for candidates experienced with machine learning, computer vision, and...",0b18bd331be1a5ca,Machine Learning-Data Science Computer Vision Researcher ATA...,,52.800003,255,12 days,2016-10-17 21:35:57.922634
