,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Austin, TX 78758 (North Austin area)",Stanley Black & Decker,Stanley Black and Decker is hiring Data Scientists for its Data Analytics team. The Data Analytics team at Stanley Black and Decker is creating analytics...,13f290700c26329e,Data Scientist,,42.6,257,14 days,2016-10-17 21:26:39.609516
1,"Austin, TX",Wellsmith,"Graduate-level coursework or research in areas such as machine learning, natural language processing, predictive models, data mining, or similar.Exceptional...",513b9155ce826c26,Data Scientist Internship,,,,13 days,2016-10-17 21:26:39.609516
2,"Austin, TX",Apple,"Develop new tools, capabilities and infrastructure to improve how data scientists conduct data analysis and model research....",9a169d36c80a9f56,Data Science Engineer,,52.800003,2573,19 days,2016-10-17 21:26:39.609516
3,"Austin, TX",University of Texas at Austin,"Collaborate effectively with the Latino Research Initiative Director, Senior Research Scientist, and colleagues to analyze evaluation needs, recommend plans for...",67a97cf3652764c4,Research Scientist,"$4,584 a month",53.4,403,1 hour,2016-10-17 21:26:39.609516
4,"Austin, TX 78757 (Crestview area)",Phunware,"We are looking for a true renaissance data scientist who is both machine learning expert and engineer, but is also comfortable wearing the hat of statistician...",f5287c0eb571313b,Data Scientist,,,,14 days,2016-10-17 21:26:39.609516
5,"Austin, TX","Advanced Micro Devices, Inc.","Data Scientist, Product Data Analytics - Austin, TX. Undergraduate Computer Science or Statistics degree and 10+ years analytics experience or Graduate degree...",130030f226bcebc6,"Data Scientist, Product Data Analytics",,43.2,243,18 hours,2016-10-17 21:26:39.609516
6,"Austin, TX",AMD,"Data Scientist, Product Data Analytics – Austin, TX. Undergraduate Computer Science or Statistics degree and 10+ years analytics experience or Graduate degree...",f55f34b5a7bfcc7f,"Data Scientist, Product Data Analytics",,43.2,243,26 days,2016-10-17 21:26:39.609516
7,"Austin, TX 78753 (Windsor Hills area)",3M,"They work closely with the Data Scientist, developing new technologies that leverage data analytics, as well as, the 3M HIS’ production teams, to transform...",95acaf28bdfaeef2,"3M HIS Specialist, Algorithm Data Engineers (Multiple Locati...",,51.6,1414,2 days,2016-10-17 21:26:39.609516
8,"Austin, TX",YouEarnedIt,"YouEarnedIt is looking for a Data Scientist to join the team and provide direction with insights, trends, analytics, nuggets of data gold, and trends around...",5d5d8a4df099268a,Data Scientist,,,,20 days,2016-10-17 21:26:39.609516
9,"Austin, TX",Galvanize,"Associate Instructor, Data Scientist. Join us in building the world's hub for education in data science and data engineering....",bf4749fc8f0f48a7,"Associate Instructor, Data Scientist",,60.0,2,5 days,2016-10-17 21:26:39.609516
10,"Austin, TX",Apple,The Apple Data Mining Lab encourages scientists to stay abreast of data mining research by attending conferences and working with academic faculty and students....,bfd185b3b40e5ab3,Data Mining Scientist,,52.800003,2573,30+ days,2016-10-17 21:26:39.609516
11,"Austin, TX 78730",Cognitive Scale,We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,561382f50d20ac71,Data Scientist,,,,25 days,2016-10-17 21:26:39.609516
12,"Austin, TX",LawnStarter,"As our lead data scientist, you will... LawnStarter is looking for a Senior Data Scientist to join our growing product development team....",6364a9bb83587f57,Senior Data Scientist,,,,30+ days,2016-10-17 21:26:39.609516
13,"Austin, TX",IBM,Deliver insights that drive better talent decisions IBM's talent analytics and cognitive human resources (HR) solutions and services help HR professionals take...,a19d2744fefe3485,WW (CoC) - Talent & Engagement - Talent Analytics - Associat...,,51.0,12128,6 days,2016-10-17 21:26:39.609516
14,"Austin, TX",HomeAway,"Familiarity with social media and experience with mining relevant data from social platforms. The ideal candidate is excellent at deep research, equal parts...",5ad61b99c19c3a8e,Market Research Analyst - Consumer Trends,,52.199997,49,6 days,2016-10-17 21:26:39.609516
15,"Austin, TX",University of Texas at Austin,Subject to a government security investigation and must meet eligibility requirements for access to classified information at the level appropriate to the...,07751cde00e3c839,Engineering Scientist - GPS Data Analyst,"$6,250 - $10,833 a month",53.4,403,5 days,2016-10-17 21:26:39.609516
16,"Austin, TX",Spiceworks,"You’ll be a lead data processor and statistician on both survey and data analytics projects for our clients, using your SPSS chops and statistical superpowers...",c47cb5373f932b9c,Sr. Statistical Analyst,,60.0,2,28 days,2016-10-17 21:26:39.609516
17,"Austin, TX",University of Texas at Austin,Subject to a government security investigation and must meet eligibility requirements for access to classified information at the level appropriate to the...,e779b94f1a78f968,Engineering Scientist Associate - R and D Software Developer,"$5,400 - $6,500 a month",53.4,403,4 days,2016-10-17 21:26:39.609516
18,"Austin, TX",Acxiom,"These include solid knowledge of supervised vs. unsupervised learning algorithms, including linear and logistic regression, polynomial regression, regression...",3cdca9a53940785d,Data Scientist,,43.2,131,21 days,2016-10-17 21:26:39.609516
19,"Round Rock, TX 78664",Dell,"Technical expertise in creating data models, data mining and segmentation. Proven work experience as a data scientist or analyst....",40101f239f2bfdb9,Data Scientist Sr. Advisor,,51.0,3880,30+ days,2016-10-17 21:26:39.609516
20,"Austin, TX",EXPERIAN,Serves as an analytical consultant for complex client deliveries/implementations Lead/execute analytical projects from solution design and data integrity...,a170e661a03273f3,Statistical Consultant (Virtual),,42.6,262,30+ days,2016-10-17 21:26:39.609516
21,"Austin, TX",CCC Information Services Inc.,Work with data scientists and other technical staff to operationalize analysis and machine learning algorithms....,4f3e7019ed097743,Data Automation & Operations Engineer,,42.6,28,3 days,2016-10-17 21:26:39.609516
22,"Austin, TX",NVIDIA,Research Scientist for Computer Vision / Machine Learning. And depth in data parallel architectures and computer vision or machine learning....,fc25bfc8350856fe,Research Scientist for Computer Vision / Machine Learning,,51.6,88,30+ days,2016-10-17 21:26:39.609516
23,"Austin, TX 78703",Qcue,"Health, dental, and vision insurance plans. Qcue is looking for a data scientist with a strong background in statistics and an interest in software development...",2ef6be2fa81a1469,Data Scientist,,,,30+ days,2016-10-17 21:26:39.609516
24,"Austin, TX",General Motors,"Must have demonstrated knowledge and implementation of AI platforms, Services, and Eco-Systems as it related to pattern recognition, data classification, and...",090f8345588dadaa,Senior Artificial Intelligence Programmer / Research Scienti...,,52.199997,2830,11 days,2016-10-17 21:26:39.609516
