,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Boston, MA",Analysis Group,"Creating interactive analytics portals and data visualizations (e.g., using R/Shiny, Python/Flask, D3)....",104372296a1d5292,Data Scientist,,53.4,5,4 days,2016-10-17 21:30:39.662904
1,"Boston, MA 02111 (Central area)",Autodesk,"You have a Bachelor's degree focused on operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline....",522547d5f3872824,Data Scientist (Boston),,52.199997,147,4 days,2016-10-17 21:30:39.662904
2,"Boston, MA 02111 (Central area)",Plymouth Rock Assurance Corporation,"An advanced degree in mathematics, machine learning, economics, statistics or a related field (background in Bayesian statistics preferred)....",7d23fb51a6d2b792,Data Scientist,,,,5 days,2016-10-17 21:30:39.662904
3,"Cambridge, MA 02139 (Area IV area)",Aequor Technologies,Be self-supportive in collaborating with world-class scientists to design and deploy data solutions to identified scientific problems related to drug discovery...,0ee0327f48ba0a0d,Database Engineer/ SPARK Engineer,$55 an hour,40.2,5,6 hours,2016-10-17 21:30:39.662904
4,"Cambridge, MA",OM1,We have a flat organization of self-directed engineers and scientists. Healthcare data experience. But we can assure you that we have great challenges of...,bf971d59ae92d952,Data Scientist,,,,20 days,2016-10-17 21:30:39.662904
5,"Cambridge, MA",IHS,"Machine learning, data mining, quantitative analysis, and predictive modeling. Data Scientist (Machine Learning)....",493df6b925152ae3,Data Scientist ( Machine Learning),,42.6,102,2 days,2016-10-17 21:30:39.662904
6,"Cambridge, MA",Panjiva,"Panjiva’s award-winning and patented technology leverages machine learning to provide powerful search, analysis and visualization tools over more than a billion...",7984a988725059d8,Data Scientist,,,,6 days,2016-10-17 21:30:39.662904
7,"Boston, MA 02116 (South End area)",Wayfair,Algorithms is a group of data scientists within the Pricing & Profitability team responsible for dynamically adjusting the prices and amount of exposure on...,5a067325a46c60da,Data Scientist - Pricing and Profitability Algorithms (Summe...,,42.6,89,13 days,2016-10-17 21:30:39.662904
8,"Boston, MA",QuantumBlack,"Use Maths, Stats and Machine learning to derive key insights across various industry sectors including formula 1, pharma, automotive and high-tech....",d745b642c469a467,Data Scientist (Boston),,,,19 days,2016-10-17 21:30:39.662904
9,"Cambridge, MA",Amazon Corporate LLC,"As a Data Scientist in our Applied Modeling team, you will be responsible for data-driven improvements to our spoken language understanding models....",0e7631cfbcbe8cd7,Data Scientist,,43.2,9618,30+ days,2016-10-17 21:30:39.662904
10,"Boston, MA",Blue State Digital,"You have a deep familiarity with a wide range of statistical methodologies and disciplines, including data visualization, machine learning, optimization, and...",cb5fcfa7b0df11f9,Data Scientist,,42.0,2,21 days,2016-10-17 21:30:39.662904
11,"Cambridge, MA",KAYAK,"Use predictive analytics and machine learning to create new products or drive business decisions. Awesome health, dental and vision insurance plans....",e74603b20ffdd818,Data Scientist,,60.0,3,26 days,2016-10-17 21:30:39.662904
12,"Boston, MA",McKinsey & Company,"Proficiency in statistical data analysis and data mining packages SAS, SPSS, MatLab, R, STATA, Excel, etc. 3+ years of deep technical experience in distributed...",86ee9e143418385c,Data Scientist,,52.800003,169,30+ days,2016-10-17 21:30:39.662904
13,"Boston, MA 02111 (Central area)",Hudl,"As a Data Scientist, you'll work with Researchers and Engineers from a broad variety of backgrounds to help build out our computer vision and advanced sports...",ef2205e35fb79890,Data Scientist,,54.0,2,6 days,2016-10-17 21:30:39.662904
14,"Boston, MA",Broad Institute,"Experience with a scientific programming environment, such as R or Matlab, is preferred. By applying your computational and modeling skills to multimodal cancer...",0359bab3f764f451,"Data Scientist, Machine Learning",,51.6,17,24 days,2016-10-17 21:30:39.662904
15,"Boston, MA",eviCore healthcare,"Design, develop, and prototype machine learning and statistical analysis techniques to automate clinical decision making, including deep learning, collaborative...",d3e7ee950f19bc93,Machine Learning Data Scientist,,,,17 days,2016-10-17 21:30:39.662904
16,"Boston, MA 02110 (Central area)",Verizon,"Or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics, related quantitative discipline or work experience....",14a1d8e769d07bef,Senior Data Scientist,,44.4,11117,11 days,2016-10-17 21:30:39.662904
17,"Cambridge, MA 02141 (East Cambridge area)","GateHouse Media, Inc","As our primary data scientist, you will dive deep into our customer data to identify the actions and behaviors of successful small business marketing, and use...",1eb955eee5c52fde,Data Scientist,,39.0,51,6 days,2016-10-17 21:30:39.662904
18,"Boston, MA","PowerAdvocate, Inc",3+ years of relevant experience in classification-type Machine Learning projects. Do you want to be involved in delivering the next generation of analytic...,33f6492c7563a46e,Data Scientist,,42.0,2,13 days,2016-10-17 21:30:39.662904
19,"Westford, MA",UTC Aerospace Systems,"Experience in data mining, Big Data analytics, machine learning, Deep Learning, computer vision, and/or other related topics....",0d10ec5c2c7c0452,Data Scientist,,43.2,518,4 days,2016-10-17 21:30:39.662904
20,"Boston, MA",CoStar Group,Provide insight and strategic/tactical plans to decision makers based on analytics outcome and market knowledge....,1e6f72d72a1bb037,Quantitative Analyst,,40.8,87,4 days,2016-10-17 21:30:39.662904
21,"Boston, MA 02116 (South End area)",Jobspring Partners,They are looking to add an experienced Data Scientist to help add advanced machine learning and predictive analytics to their cutting edge analytics platform....,3b589f537f5f3d39,Data Scientist,"$120,000 - $150,000 a year",40.8,12,6 hours,2016-10-17 21:30:39.662904
22,"Boston, MA",Mayovika LLC,Data scientists or individuals possessing data science skills and/or education and and wishing to acquire practical experience and further skills in data...,9854252ab9b3c03c,Data Scientist,$68 an hour,,,11 days,2016-10-17 21:30:39.662904
23,"Cambridge, MA",EverQuote,"The role is a dynamic mix of product strategy, project management and analytics. You might know a programming language – Python, Ruby, R, etc. (a plus!)....",cfaf4580a4eba466,Quantitative Product Analyst,,,,10 days,2016-10-17 21:30:39.662904
24,"Waltham, MA",Cytel,Working knowledge of SAS is desired but not necessary Candidate will be expected to learn SAS programming over time Passionate about learning new areas in,595b6bc58d3e60fe,Data Scientist,,55.800003,4,23 days,2016-10-17 21:30:39.662904
25,"Boston, MA 02116 (South End area)",Jobspring Partners,Senior Data Scientist Job Description. Experience with data analytics. Looking for a Senior Data Scientist willing to pay up to $150K. Health and dental....,747c33156995d617,Senior Data Scientist,"$150,000 a year",40.8,12,12 days,2016-10-17 21:30:39.662904
26,"Boston, MA 02111 (Central area)",Bunker Hill Insurance,"Analyzes competitive data, identifies trends and opportunities; Designs, reviews, and analyzes monthly and quarterly reports used to manage the company’s...",ed867b68344d0b27,Product Analyst - Quantitative,,,,14 days,2016-10-17 21:30:39.662904
27,"Boston, MA 02210 (South Boston area)",DataXu,Data Scientist & Machine Learning Engineer. DataXu is looking for a a Senior Data Scientist & Machine Learning Engineer to join the Optimization Group....,4d96c101d81ece9b,DataScientist and Machine Learning Engineer,,43.8,4,5 days,2016-10-17 21:30:39.662904
28,"Cambridge, MA",ThriveHive,"As our primary data scientist, you will dive deep into our customer data to identify the actions and behaviors of successful small business marketing, and use...",1056715d6afd92ce,"Open Data Scientist | Cambridge, MA",,,,30 days,2016-10-17 21:30:39.662904
29,"Boston, MA",Physical Sciences Inc.,Candidates with deep knowledge and demonstrated record of accomplishment in applying statistics-based data analytics algorithms for signature extraction and...,4ed9af05f1968f8d,Applied Physicist/Data Analytics,,,,2 days,2016-10-17 21:30:39.662904
30,"Cambridge, MA",Amazon Corporate LLC,"PhD with specialization in machine learning applied in multimodal data processing and information fusion, with at least 3 years of related work experience....",aad34d95918a1375,Multimodal Machine Learning Scientist,,43.2,9618,5 days,2016-10-17 21:30:39.662904
31,"Newton, MA","Thermalin Diabetes, LLC",Knack for communicating stories through data visualizations. Format and analyze data to extract key performance parameters....,6a7c9e08a21183c5,"Data Scientist - Newton, MA (will work in Boston, MA area)",,,,21 days,2016-10-17 21:30:39.662904
32,"Framingham, MA",Berg Health,"In Statistics, Epidemiology, Public Health, Data Science or related field. Perform meticulous and well thought-out data analysis for hypothesis testing on...",8a44d1e1ec7c55e4,Data Scientist,,,,6 days,2016-10-17 21:30:39.662904
33,"Boston, MA",EXL,Candidates with BA/BS degrees from the top tier academic institutions with significant work experience are also welcome to apply 10 or more years of...,d743201574f644bb,Healthcare- Data Scientist,,44.4,320,25 days,2016-10-17 21:30:39.662904
34,"Boston, MA",Aetna,"Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization....",f706561bafa3e515,Data Science Analyst,,43.8,1717,26 days,2016-10-17 21:30:39.662904
35,"Wellesley, MA",Harvard Pilgrim Health Care,"Machine learning/Artificial Intelligence /Visualization, databases, and Big Data), Statistics, Epidemiology, Health Services Research, or equivalent combination...",7866761d4ff16f45,Data Scientist,,52.199997,28,23 days,2016-10-17 21:30:39.662904
36,"Somerville, MA 02144",clypd,"The ability to manage and manipulate large data sets through appropriate tools including, AWS, R and Python....",d6b6dce2a5de94d2,Data Scientist,,,,27 days,2016-10-17 21:30:39.662904
37,"Cambridge, MA",HawkinsPointPartners,"The background for this position is either a Scientist with a heavy analytics and data science background, or a Computer Scientist / Engineer who has been...",30e726fbc6878b03,Data Scientist,,,,30+ days,2016-10-17 21:30:39.662904
38,"Burlington, MA",Oracle,"6 years advanced analytics experience including applied techniques in data mining, machine learning, and graph mining on big data sets....",49ad811bb6ad6fd5,Data Scientist ( Machine Learning),,44.4,1013,29 days,2016-10-17 21:30:39.662904
39,"Cambridge, MA",KAYAK.com,"Use predictive analytics and machine learning to create new products or drive business decisions. Awesome health, dental and vision insurance plans....",7552852d4a2579f2,Data Scientist,,,,27 days,2016-10-17 21:30:39.662904
