,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Plano, TX",shrikon,"Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes....",e1a967108222d0c5,Data Scientist,,,,3 days,2016-10-17 21:38:15.093162
1,"Dallas, TX 75240 (Far North area)","Enaxis Consulting, LP","Analytics Data Scientist- Dallas. Use machine learning, data mining and statistical techniques to create new, scalable solutions for business problems....",731b92d3dcad54a2,Analytics Data Scientist,,,,4 days,2016-10-17 21:38:15.093162
2,"Dallas, TX",Markit Financial Info Service," Preferable IT skills (Python, SQL).  Very good and relevant operational experience. The successful candidate will be working as part of the global Index...",e23204a1bc96498b,"Associate, Entry Level Quantitative Analyst",,,,7 days,2016-10-17 21:38:15.093162
3,"Dallas, TX",Atos IT Services and Solutions Inc,"5 years + hands-on experience in one or more Statistical Methods, such as machine learning, information retrieval, data mining, Text Mining, Natural Language...",6227d09b9289fd97,Data Scientist,,,,14 days,2016-10-17 21:38:15.093162
4,"Irving, TX",latasoftek solutions llc,Partner with Analytics organization to design and develop dashboards for visualization of key metrics to derive insights • ;...,3872eab8a1e19e8f,Data Scientist,,,,24 days,2016-10-17 21:38:15.093162
5,"Dallas, TX",Zimmerman Advertising,"The Data Scientist position requires a multidisciplinary approach to technology, business, and marketing applied together to unlock insights hidden within our...",5a0b28a7075fb5ab,Data Scientist,,,,27 days,2016-10-17 21:38:15.093162
6,"Irving, TX 75063","Aviall, Inc.","Data Scientist will provide insights and. Data Scientist will collaborate with Boeing. And machine learning algorithms, experience working with....",cbc6ee3e30d831d0,Sr. Data Scientist,,44.4,31,17 days,2016-10-17 21:38:15.093162
7,"Dallas, TX",Parkland Hospital,"As an experienced data analytic scientist, will be responsible for coordinating specific phases of data analytics (extraction, analysis, manipulation, synthesis...",f56bcf2370065de6,Data Analytics Scien Lv 2-PCCI,,43.8,302,6 days,2016-10-17 21:38:15.093162
8,"Dallas-Fort Worth, TX",Oscar Technology,"""How much will our customers spend next year?""""What factors affect our business costs?""""How much will currency fluctuations affect international travel?""We have...",96463e7ac0f61c4f,Data Science Director,"$180,000 a year",,,18 days,2016-10-17 21:38:15.093162
9,"Irving, TX 75038",Verizon,"Or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics, related quantitative discipline or work experience....",8e326f1ec44575e9,Senior Data Scientist,,44.4,11117,11 days,2016-10-17 21:38:15.093162
10,"Dallas, TX",Markit,"Company Overview IHS Markit harnesses deep sources of information, analytics and expertise to forge solutions for the industries and markets that drive global...",b7161a6b9cf6f8b4,"Associate, Entry Level Quantitative Analyst",,41.4,34,7 days,2016-10-17 21:38:15.093162
11,"Dallas, TX",Markit Financial Info Service,O Ensure that index data and methodologies comply with the IOSCO Principles for Financial Benchmarks. O Ensure that new indices are handed over to the relevant...,03be819b6ae9b683,"Associate, Entry Level Research Analyst",,,,1 day,2016-10-17 21:38:15.093162
12,"Irving, TX 75039",Exeter Finance Corporation,"Working knowledge of R and prior work experience using R for data analysis preferred. Create and maintain re-usable code libraries (in R, SAS and SQL) that are...",4b562607cffa2061,Statistical Programmer,,42.0,107,5 days,2016-10-17 21:38:15.093162
13,"Dallas, TX",Markit,"Company Overview IHS Markit harnesses deep sources of information, analytics and expertise to forge solutions for the industries and markets that drive global...",434b8b7a4698577d,"Associate, Entry Level Research Analyst",,41.4,34,1 day,2016-10-17 21:38:15.093162
14,"Plano, TX",Sonsoft Inc,Becoming subject matter expert in Healthcare analytics Qualifications. Ensuring solutions and executing analytical projects using machine learning/text mining...,d99e613bbd81dbbd,Data Scientist,,,,30+ days,2016-10-17 21:38:15.093162
15,"Dallas, TX",Atos,"5 years + hands-on experience in one or more Statistical Methods, such as machine learning, information retrieval, data mining, Text Mining, Natural Language...",8bb084dd704b3d76,Sr. Data Scientist,,42.0,313,12 days,2016-10-17 21:38:15.093162
16,"Dallas, TX",Bank of America,"Analyzes actual and predictable interacting operational activities of a business system to obtain quantitative, rational basis for decision making through the...",38f262b8279a59bd,"Operations Research Analyst II - Dallas, TX",,44.4,14240,9 days,2016-10-17 21:38:15.093162
17,"Dallas, TX",Straveda,"Support data scientists, analysts, and product owners by cleaning, transforming, and augmenting data sets for analysis....",389fbc8508123c43,Data Wrangler,,,,30+ days,2016-10-17 21:38:15.093162
18,"Dallas, TX",Infor,"Provides unique operational contributions by acting in a self-directed manner within a valued contribution area of the Data Analytics group (e.g., data...",3f932abf1bc67d26,Data Analyst,,42.6,61,11 days,2016-10-17 21:38:15.093162
19,"Plano, TX",AT&T,"Expert level competency with scientific data analysis methods, leveraging statistics, data modeling, anomaly and outlier detections, and machine learning...",46d01eb96792ad68,Principal Big Data Scientist,,44.4,14297,9 days,2016-10-17 21:38:15.093162
20,"Plano, TX",Rent-A-Center,"SAS, R, or Python. Partner closely with members of the Data. Professional experience in analytics including the development of predictive. Proficient with SQL....",200c3d0e53232993,Data Scientist - Strategy & Analytics,,40.8,1979,30+ days,2016-10-17 21:38:15.093162
21,"Dallas, TX 75287 (Far North area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",f0965f6f76c093ba,Sr Associate - Data Scientist,,51.0,1768,25 days,2016-10-17 21:38:15.093162
22,"Dallas, TX",KPMG,"Utilize analytics to explore data, and identify key trends and insights from multi-faceted, and high-dimensional data, and work with data scientists to create...",c50c0d93b73ceabb,Data Visualization Software Engineer,,51.0,1768,3 days,2016-10-17 21:38:15.093162
23,"Plano, TX",AT&T,"Data Analytics, Machine Learning or Business Analyst nanodegree; The Senior Data Scientist will be responsible for designing and implementing processes and...",d83af1eef44307a4,Senior Big Data Scientist,,44.4,14297,12 days,2016-10-17 21:38:15.093162
24,"Irving, TX 75063","Aviall, Inc.",The Data Scientist will solve complex business &. Intelligence / big data / data science applications. Maintenance of business intelligence / big data / data....,8c91db0ba3494440,Data Scientist II,,44.4,31,30+ days,2016-10-17 21:38:15.093162
25,"Dallas, TX 75243 (Northeast Dallas area)",Business Control Systems,"We need a Data Scientist in Dallas, TX, who has worked with customers for large-scale corporations on pricing analytic solution projects....",46d1c7d4461c0792,Data Scientist,,,,12 days,2016-10-17 21:38:15.093162
26,"Irving, TX",Wolters Kluwer,"You will perform a defined scope of work in a particular work area and provide senior technical leadership, guidance and support on all matters related to data...",1b0d257226eb5520,Applied Data Scientist,,43.2,217,12 days,2016-10-17 21:38:15.093162
27,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,"This position requires the ability to read and understand medical, scientific, statistical and/or business or management terminology and to make causal and...",0f64acd0d7828eba,Research Analyst II,,43.8,205,5 days,2016-10-17 21:38:15.093162
28,"Irving, TX","InfoVision, Inc.","Experience working with large datasets using tools like SQL, Hadoop, MapReduce, Pig/Hive, Spark/Shark Experience in using statistical modeling and distributed...",89521c071d8c7c53,"Data Scientist - Irving, TX",,,,30+ days,2016-10-17 21:38:15.093162
29,"Plano, TX 75086",Baylor Scott & White Health,"Reviews data for completion and quality control, and prepares data for further analysis. Will review data and maintain database....",c64d6c9ca4fadbfe,Research Enrollment Analyst -- Cardiology,,43.8,205,3 days,2016-10-17 21:38:15.093162
30,"Dallas, TX 75254 (Far North area)",Infor,"Machine Learning, Data Mining, Predictive Modeling; (or foreign equivalent) in Computer Science, Electrical and Computer Engineering or a related field with...",0d1e156b3779c600,Research and Development Scientist,,42.6,61,3 days,2016-10-17 21:38:15.093162
31,"Dallas-Fort Worth, TX",Sabre,"Senior Data Scientist. SAS, R, Matlab), experienced in data visualization. Large data sets. Ability to create, train and implement Machine Learning models....",ba9ae4a6d04aa959,Senior Data Scientist,,43.8,137,30+ days,2016-10-17 21:38:15.093162
32,"Irving, TX 75038",Incedo,"Role - Data Scientist. Experience in data modeling, data mining, data cleansing, and statistical techniques. Really knows the data scientist approach and tools....",e85394a87879e77d,Data Scientist,,52.800003,3,30+ days,2016-10-17 21:38:15.093162
33,"Richardson, TX","TPR Consulting, LLC",4+ years hands-on experience implementing large scale data analytics solutions. Communicate insights and recommend areas for further data discovery....,dee392dd3d6484aa,Data Scientist,,,,30+ days,2016-10-17 21:38:15.093162
34,"Dallas, TX 75220 (Preston Hollow area)",Briggs Equipment,"Provide accurate and timely customer service and support relating to parts inquiries required for order completions with internal / external customers, vendors,...",0b60c64affe8cb0a,Parts Research Analyst,,40.2,34,3 days,2016-10-17 21:38:15.093162
35,"Dallas, TX 75219 (Oak Lawn area)",Healthmine Services,"This team includes biostatisticians who are driven by questions relating to the health of people in a given population, data scientists who employ machine...",0ca58178757b3c53,Data Warehouse Architect,,,,30+ days,2016-10-17 21:38:15.093162
36,"Dallas, TX","Noridian Healthcare Solutions, LLC","Minimum of 10 years of experience using statistics with demonstrated experience and knowledge of health care information, for example health claims data, ICD-9...",f9de1db39ec286ef,UPIC Chief Statistician,,,,30+ days,2016-10-17 21:38:15.093162
37,"Irving, TX",Sirius XM Radio,5+ years of data analytics / mining / machine learning / analytics coding. Understanding of Search and Recommendation service features including classifications...,8d60025811b97b0c,Senior Data Scientist,,42.6,31,30+ days,2016-10-17 21:38:15.093162
38,"Irving, TX 75015",Allstate Insurance,Collaborate with business analysts and data scientists in eliciting and articulating solution requirements. The Systems Analyst / Senior Hadoop Data Engineer...,50e5535ccc8ce6bc,Big Data and Analytics Systems Analyst,,44.4,2837,19 days,2016-10-17 21:38:15.093162
39,"Dallas, TX",Deloitte,"Perform data studies and data discovery routines for video, voice, weblog, sensor, machine and social media data sources or mash ups of new and existing data...",16261c9fdf63b81a,Advanced Analytics Enablement Big Data Senior Consultant,,51.0,3469,30+ days,2016-10-17 21:38:15.093162
40,"Dallas, TX",Toyota,Experience engaging data scientists to define/scope business problem statements through solutions delivery. Manage Center of Excellence (COE) Analytics process...,a4e55be7fafbb1ba,Analytics Delivery Consultant,,51.6,1646,25 days,2016-10-17 21:38:15.093162
41,"Plano, TX",AT&T,Data Analytics or Machine Learning nanodegree; We need people who have the capacity to identify problem spaces where Machine Learning has never been applied...,c11c6dd97a887178,Professional Data Scientist BIG DATA,,44.4,14297,30+ days,2016-10-17 21:38:15.093162
42,"Arlington, TX 76010 (East area)",2M Research Services,"This position also entails mentoring junior staff, and participating in professional development and scientific activities....",69b2adf19ae9795c,Senior Survey Sampling Statistician,,,,1 day,2016-10-17 21:38:15.093162
43,"Arlington, TX 76010 (East area)",2M Research Services,Familiarity with R and SUDAAN is desirable. This position will be responsible for designing and conducting statistical analyses on data collected from complex...,8c8cdd0f668acdb5,Senior Statistician,,,,1 day,2016-10-17 21:38:15.093162
44,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,The Bioinformatics Scientists is responsible for conducting bioinformatics data analysis under direction of a supervisor....,0373f6a13dc05f20,Bioinformatics Scientist,,43.8,205,20 hours,2016-10-17 21:38:15.093162
45,"Dallas, TX 75287 (Far North area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Eight years of professional experience working as a Data...",9243916a19b42a69,Manager - Data Scientist,,51.0,1768,25 days,2016-10-17 21:38:15.093162
46,"Plano, TX",Axius Technologies,""" Experience communicating insights from complex data to non-technical audiences. "" Proficiency in data visualization tools both commercial and open source....",efee1987084eb21b,Data Scientist,,54.0,4,18 days,2016-10-17 21:38:15.093162
47,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,"Job Duties Plans, organizes, coordinates, directs, and personally participates in assigned scientific or medical research project....",34fa95228b220a79,Research Scientist - Pathology,,43.8,202,11 days,2016-10-17 21:38:15.093162
48,"Plano, TX",AT&T,"And with our Big Data know-how, you’ll discover and develop meaningful insights that inspire continuous innovation....",914857647a34252f,Big Data Technical Intern I,,44.4,14297,26 days,2016-10-17 21:38:15.093162
49,"Dallas, TX",Toyota,"Work and coordinate with TMS/TMNA IS team members and business partner consultants (eg C360, data scientists, Urban Science) and develop advanced predictive...",395510cce41c2828,Accessory Sales Analyst,,51.6,1646,13 days,2016-10-17 21:38:15.093162
50,"Dallas, TX 75225 (North Dallas area)",JLL,"Proactively deliver information and insights on market and economic activity, trends, and forecasts. Attend relevant sales or business team meetings and...",c81aeecf0aabce41,Research Analyst (Commercial Real Estate),,43.8,759,6 days,2016-10-17 21:38:15.093162
51,"Dallas, TX",Toyota,"C360, data scientists, Urban Science) and develop advanced predictive models to measure campaign and incentive program performance....",1ab69d9bc6579bb3,Parts Sales Analyst,,51.6,1646,14 days,2016-10-17 21:38:15.093162
52,"Richardson, TX",Samsung Research America,"By creatively applying computer vision and machine learning technologies to various applications and services, you will contribute to taking the user...",dac6cb2b8867d8a0,Computer Vision & Machine Learning Researcher,,43.8,6,30+ days,2016-10-17 21:38:15.093162
53,"Richardson, TX",Samsung,"By creatively applying computer vision and machine learning technologies to various applications and services, you will contribute to taking the user...",b714aa4f03ed4a0e,Computer Vision & Machine Learning Researcher,,44.4,1817,30+ days,2016-10-17 21:38:15.093162
54,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,"Job Duties Plans, organizes, coordinates, directs, and personally participates in assigned scientific or medical research project....",6de49b293b73c7e0,Research Scientist - Internal Medicine - Cardiology,,43.8,202,4 days,2016-10-17 21:38:15.093162
55,"Dallas, TX 75390 (Northeast Dallas area)",UT Southwestern Medical Center,"To the extent provided by applicable law, no person shall be excluded from participation in, denied the benefits of, or be subject to discrimination under any...",a730f4e08190ce66,Computational Scientist- Bioinformatics,,43.8,202,22 days,2016-10-17 21:38:15.093162
56,"Dallas, TX 75215 (South Boulevard-Park Row area)",Baylor Scott & White Health,"Maintenance of data bases. Scientific, statistical and/or business or management terminology and to make causal and....",20bbdaea1f377a66,Research Analyst I -- Cardiovascular Epidemiology,,43.8,205,26 days,2016-10-17 21:38:15.093162
57,"Plano, TX",Capital One,"In this role, the candidate will develop machine learning, data mining, and statistical algorithms on Hadoop platform....",4c24c759ce4d9050,"Manager, Data Engineering(Machine Learning)",,44.4,2904,30+ days,2016-10-17 21:38:15.093162
58,"Plano, TX",AT&T,"Focusing on stitching large data sets to support data scientists for model creation, training. Design process to create Reusable derived data sets for use for...",7ccc7f97d1946941,Principal Big Data Engineer,,44.4,14297,3 days,2016-10-17 21:38:15.093162
59,"Dallas, TX 75234",Rushmore Loan Management,"Ability to research, gather background information and analyze complex data. Experience at successfully examining and interpreting data from different sources...",007d9bbeb778b7c7,Investor Research Analyst,,39.0,11,30+ days,2016-10-17 21:38:15.093162
60,"Plano, TX",Capital One,Integrate internal data with external data sources and APIs to discover actionable insights. Data Scientist Intern - The University of Texas at Austin....,6ab3e187820cd23c,Data Scientist Intern - The University of Texas at Austin,,44.4,2904,30+ days,2016-10-17 21:38:15.093162
