,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Denver, CO",ICR Inc,"⦁ Research, design, and development of algorithms for data mining, regression, classification across broad and disparate data sets....",82d27a79fbc7e563,Data Scientist,,,,6 days,2016-10-17 21:34:50.519659
1,"Broomfield, CO","Vadata, Inc","Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on...",f0b73a3abf907e71,Data Scientist,,,,7 days,2016-10-17 21:34:50.519659
2,"Denver, CO 80202 (Lodo area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",42d6aef39a3ddc0d,Data Scientist,,51.0,1768,3 days,2016-10-17 21:34:50.519659
3,"Denver, CO 80202 (Lodo area)",Ibotta,Strong experience working with data scientists and analysts. Build and maintain production-scale analytics and machine learning features....,90504439d6a10855,Data Engineer,,51.0,5,5 days,2016-10-17 21:34:50.519659
4,"Denver, CO 80202 (Lodo area)",Ray Allen,"The candidate will be supporting our Data Engineering team in developing and updating BI Dashboards using Qlik Sense, establishing ETL processes, creating...",f18fefb3ce91da7d,Associate Data Scientist,,,,30+ days,2016-10-17 21:34:50.519659
5,"Denver, CO",Galvanize,"Galvanize has a tight-knit team of data scientists, educators, and community builders that are creating a pathway onto industry’s most demanding data science...",778c32b8e628b100,"Associate Instructor, Data Science",,60.0,2,4 days,2016-10-17 21:34:50.519659
6,"Broomfield, CO",Oracle,Other data scientists as methodology is developed and deployed. A Senior Data Scientist (Data Scientist III) you’ll be developing cutting edge....,c5ffb2083bddd5e3,Data Scientist - Oracle Data Cloud,,44.4,1013,24 days,2016-10-17 21:34:50.519659
7,"Denver, CO",Denver Public Schools,"Revious project management experience preferred. Fulfill internal data requests, and coordinates external requests to conduct research within Denver Public...",96ea852b71d8e690,RESEARCH ANALYST,"$57,580 - $69,098 a year",43.8,157,6 days,2016-10-17 21:34:50.519659
8,"Westminster, CO",Oracle,"Data Scientists galore. Competency with big-data tools—such as SQL, Python, R, SAS. As a Senior Data Scientist on the Retail Analytics team, you would combine...",5dd2220530ef426d,Senior Data Scientist - Retail Analytics,,44.4,1013,4 days,2016-10-17 21:34:50.519659
9,"Denver, CO 80202 (Lodo area)",Ibotta,"Data Scientist you will be responsible for developing our analytics products, defending our methodology, and identifying ways to normalize and standardize our...",6b7b8940420fee88,Senior Data Scientist,,51.0,5,16 days,2016-10-17 21:34:50.519659
10,"Westminster, CO",Oracle,Data scientists and desire to act as a mentor to up and coming data scientists. Other team members and data scientists to brainstorm solutions....,ef3f6cec80e8fdd2,Sr. Data Scientist-Identity Data Science,,44.4,1013,10 days,2016-10-17 21:34:50.519659
11,"Boulder, CO",CaliberMind,Preferred - PhD in Computer Science including machine learning and data mining. Recruitment and mentoring of a team of data scientists evolving distinctive...,63265dc03e382020,Senior Data Scientist,"$120,000 a year",,,24 days,2016-10-17 21:34:50.519659
12,"Englewood, CO",DISH Network,"As a Quantitative Analyst, you will be a key contributor performing professional and scientific work requiring the design, development, and adaption of...",51e854e18196b5c9,Quantitative Analyst,,40.8,2067,5 days,2016-10-17 21:34:50.519659
13,"Denver, CO",Denver Public Schools,"Manage the build out of a data system to support the goals and activities of the CareerConnect Program. Applied Non-Linear Modeling & Multi-Level Analysis,...",8bb49e1dc7448f95,SENIOR RESEARCH ANALYST AND DATA STRATEGIST,$33.69 an hour,43.8,157,3 days,2016-10-17 21:34:50.519659
14,"Denver, CO",University of Denver,"Knowledge of data visualization and dashboard development. Knowledge of quantitative research methods as applied in the social sciences, including statistical...",1edfb58e28c96b55,Senior Research Analyst - Office of Institutional Research &...,,52.199997,60,10 days,2016-10-17 21:34:50.519659
15,"Denver, CO",Galvanize,"Instructor, Sr Data Scientist. Join us in building the world's hub for education in data science and data engineering....",989248c633bb0181,"Instructor, Sr. Data Scientist",,60.0,2,9 days,2016-10-17 21:34:50.519659
16,"Boulder, CO",National Ecological Observatory Network Inc,"A 30+ year project dedicated to understanding how changes in climate, land use and invasive species impact ecology, the observatorys scientists and engineers...",dea76bc2f573c303,Staff Scientist-Data Products,,,,11 days,2016-10-17 21:34:50.519659
