,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Dearborn, MI",Cbsi Global,"Ford Motor Company's Global Data, Insight & Analytics (GDIA) organization is looking for motivated and talented individuals with a background in Operations...",60e9dd51b20eb6a5,DATA SCIENTISTS ANALYSTS,,,,3 days,2016-10-17 21:46:07.114777
1,"Dearborn, MI",Cbsi Global,"The Analytics Research and Development team within Ford's Global Data, Insight and Analytics (GDIA) organization is looking for a highly skilled quantitative...",083788e448459676,DATA SCIENTISTS MODELING,,,,3 days,2016-10-17 21:46:07.114777
2,"Dearborn, MI",Ford Motor Company,"Analytics Scientist position offered by Ford Motor Company (Dearborn, MI). 3 years of experience performing complex mathematical programming and exact and meta...",a6a5010b12890995,Analytics Scientist,,52.800003,2193,17 days,2016-10-17 21:46:07.114777
3,"Dearborn, MI",Ford Motor Company,Data Scientist-Forecasting-Ford Credit. Demonstrated experience conducting statistical analysis in a business or academic environment Experience in Banking...,ab111c2bc5968f19,Data Scientist - Forecasting,,52.800003,2193,25 days,2016-10-17 21:46:07.114777
4,"Dearborn, MI","FutureNet Group, Inc","The Data Operations team is a key department within Ford's growing Global Data, Insights and Analytics division....",5cd89ed319489490,237409 Data Scientists Analysts,,,,7 days,2016-10-17 21:46:07.114777
5,"Dearborn, MI",Miracle Software Solutions,"Data Scientists Analysts (7500). The Data Operations team is a key department within Ford's growing Global Data, Insights and Analytics division....",5415748623ffd17f,Data Scientists Analysts,,,,12 days,2016-10-17 21:46:07.114777
6,"Detroit, MI",General Motors,Data Scientist - Legal. Collaborate cross-functionally with other data analytics teams to arrive at actionable insights....,a45ad7ee08193a22,Data Scientist - Legal,,52.199997,2830,9 days,2016-10-17 21:46:07.114777
7,"Warren, MI",Cresttek LLC,"Primarily, this role will help others (data scientists and analysts) understand and use data. This is a data analytics ENABLEMENT role....",5bb91800db502b7c,Statistical Modeler/Data Analyst,,,,2 days,2016-10-17 21:46:07.114777
8,"Detroit, MI 48223 (Brightmoor area)","FutureNet Group, Inc","Capable of converting business problems into analytics formulations, then interpreting the analytics results and translating them into easily understood...",7d78cb23112b836e,234037 Data Scientists Modeling,,,,12 days,2016-10-17 21:46:07.114777
9,"Detroit, MI 48226 (Downtown area)",Hello Innovation,"You should possess a deep understanding of the statistical and machine learning methods as well as semantic web technologies, i.e. RDF, OWL and related methods....",cb8331338a8de31d,Data Scientist,,,,30+ days,2016-10-17 21:46:07.114777
10,"Dearborn, MI",Venteon,"Track and manage machine performance metrics to identify and prioritize improvement efforts across the Services organization, with emphasis on predictive...",17839782b7608d83,Data Scientist,"$115,000 a year",39.0,5,5 days,2016-10-17 21:46:07.114777
11,"Dearborn, MI",Ford Motor Company,Leverage latest techniques in machine learning and ‘big data’ to model internal and external data sources Forecasting vehicle sales and marketing outcomes...,d85a519ebefcf5a9,2017 GDI&A Entry Level Data Scientist/Analyst,,52.800003,2193,30+ days,2016-10-17 21:46:07.114777
12,"Royal Oak, MI",Ambassador,"Deep knowledge of data mining, prediction engines, and machine learning. Design and build data mining and analysis tools and smart, predictive features....",13be8c3c33430e66,Machine Learning Engineer,,52.199997,27,12 days,2016-10-17 21:46:07.114777
13,"Dearborn, MI",Ford Motor Company,"R&D Data Scientist – Deep Learning. Master’s degree in a quantitative field such as Computer Science, Statistics, Economics, Mathematics, Physics, Operations...",0f61af3c8ba2b773,R&D Data Scientist – Deep Learning,,52.800003,2193,30+ days,2016-10-17 21:46:07.114777
14,"Detroit, MI",Momentum LLC,"Machine learning (regression, regularization, ensemble methods, time series, decision tree, random forest, gradient boosting, clustering, neural networks,...",703339bff7909f50,Lead Data Scientist - Engineering/Internet of Things,"$130,000 a year",,,30+ days,2016-10-17 21:46:07.114777
15,"Warren, MI",ASG Renaissance,Clean and Standardize â€œdirtyâ€ data so it can be used for Analytics. Create and maintain a Business Data Dictionary and Data Profile....,9299cd9ce2b69973,Statistical Modeler / Data Analyst 2,,52.800003,6,10 days,2016-10-17 21:46:07.114777
16,"Warren, MI",General Motors,Data Scientist- Advanced Analytics. This is a unique opportunity to join a multi-disciplined team of experienced individuals who will be driving the opportunity...,6be07dea37b3b82b,Sr. Data Scientist- Advanced Analytics,,52.199997,2830,9 days,2016-10-17 21:46:07.114777
17,"Detroit, MI",T3 Trading Group LLC,"If you have a strong analytical and statistical background along with current market experience, please send an updated resume to discuss a potential career...",e6e46922fda4084b,Statistical Pairs Trading Positions,,51.0,4,23 days,2016-10-17 21:46:07.114777
18,"Dearborn, MI",Ford Motor Company,"At times, the problem is identified by a business unit, frequently wishing to optimize cost, revenue, or improve quality, and at times problems are formulated...",5ed69eb2a6e40138,Descriptive Analytics - Data Scientist,,52.800003,2193,30+ days,2016-10-17 21:46:07.114777
19,"Farmington Hills, MI",ektello,Technical experience in Deep Machine Learning (academic and*. 6-Month CONTRACT TO HIRE....,74c340df79b47362,Data Scientist,,51.0,2,30+ days,2016-10-17 21:46:07.114777
