,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Houston, TX",Exxon Mobil,"Experience in relevant areas of scientific expertise (e.g., machine learning, numerical methods, signal processing, statistics, mathematics, and optimization)....",857a318d918bc7ce,Data Scientist,,51.0,1005,12 days,2016-10-17 21:37:10.011634
1,"Houston, TX",Quantlab Financial,Technology and Scientific Research are central to our business and key to our success. Generous benefit plan structure including an option for fully paid health...,832f8cb888fad827,Quantitative Research Scientist - Options Strategist,,,,5 days,2016-10-17 21:37:10.011634
2,"Houston, TX",Pros.,Machine Learning and Data Science. In this role you will work in teams to unearth business insights through data mining and to innovate and implement cutting...,f645ad1a7ec74dd5,Scientist I,,,,6 days,2016-10-17 21:37:10.011634
3,"Houston, TX 77070","Noble Energy, Inc.","Continually enhance the advanced analytics program by staying up to date on the latest data science, advanced analytics, and big data trends....",9e4026730140473a,Data Scientist,,51.6,83,29 days,2016-10-17 21:37:10.011634
4,"Houston, TX 77046 (Montrose area)","Enaxis Consulting, LP","Work with data scientists, visualization specialists, and analytic specialists’ to understand data, project success criteria and related to business processes....",cd6ec51198b13a41,Analytics Data Engineer,,,,3 days,2016-10-17 21:37:10.011634
5,"Houston, TX 77057 (Galleria-Uptown area)",Experis,"The role will partner with a multi-disciplinary group of industry experts, modellers and data scientists to innovate, develop and deploy new commercial...",c64f131cd83c8fda,Analytical Data Scientist,,43.8,296,17 days,2016-10-17 21:37:10.011634
6,"Houston, TX",National Oilwell Varco,"Data mining, Feature. Data analytics solutions for challenging engineering and reliability problems. Data Science responsibilities include:....",18cbee11f92a560b,Data Scientist,,44.4,1105,19 days,2016-10-17 21:37:10.011634
7,"Houston, TX",Shell,"Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...",8b4e7620872d8b19,"Quantitative Risk Analyst (Houston, TX)",,44.4,1376,7 days,2016-10-17 21:37:10.011634
8,"Houston, TX",MD Anderson Cancer Center,"Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...",30b42fdff4a0f717,Research Statistical Analyst,,51.6,250,30+ days,2016-10-17 21:37:10.011634
9,"Houston, TX",The Hanover Company,This role will data mine property and portfolio information to locate trends to improve operational performance....,699f12fa69d83b44,Quantitative Analyst,,51.0,5,30+ days,2016-10-17 21:37:10.011634
10,"Houston, TX","Adroit Partners, LLC",Search Engine Marketing (SEM) Data Scientist. Support our Search Science projects using Text Analytics and Machine Learning techniques....,46e37848c289391d,Search Engine Marketing (SEM) Data Scientist,,,,27 days,2016-10-17 21:37:10.011634
11,"Houston, TX",Baylor College of Medicine,"PM, LIMS, QC, IT, Clinical feature requests. In this role, the Lead Programmer will work with internal and external collaborators to support the publication and...",df74e71c48c38210,Lead Bioinformatics Programmer,"$83,000 - $102,000 a year",51.0,174,17 days,2016-10-17 21:37:10.011634
12,"Houston, TX 77030 (Medical area)",Houston Methodist,"Analyzes data and interprets data (EF). This includes scientists who are not on an independent path in terms of external grant funding and publications, and...",627d59d3adc6f769,Research Scientist,,52.199997,765,12 days,2016-10-17 21:37:10.011634
13,"Houston, TX",Tessella,We are seeking talented Data Scientists with software development and analytical skills and a strong academic and/or commercial background....,b90b409bf222cd22,Data Scientist / Software Developer – Oil and Gas,,,,30+ days,2016-10-17 21:37:10.011634
14,"Houston, TX",BOEING,"Skilled scientists and thinkers. Experience working on a NASA project or Space-related project/program. Bachelor, Master or Doctorate of Science degree from an...",51b39103e97ed066,Software Engineer - Entry Level,,51.6,2926,3 days,2016-10-17 21:37:10.011634
15,"Houston, TX",Endevis,"Develop analytics tool using SQL, R, Java, Perl, Python and big data tools. Develop analytics solutions using traditional database technology such as SQL and...",e6256beb4e410047,Data Scientist,,51.0,5,11 days,2016-10-17 21:37:10.011634
16,"Houston, TX",CHC,"Hands-on expertise in analytic programs such as SAS, SQL, R, Tableau, SPSS. Identify, analyse, and interpret trends or patterns in complex data sets....",d4606cb6d6436d24,Quantitative Marketing Analyst,,,,23 days,2016-10-17 21:37:10.011634
17,"Houston, TX",MD Anderson Cancer Center,"Compiles, analyzes, and reports data for a wide range of projects in the basic, translational, and clinical sciences including, but not limited to, proteomics,...",e79e5ddb0e02a501,Research Scientist in Lymphoma/Myeloma Research,,51.6,250,3 days,2016-10-17 21:37:10.011634
18,"Houston, TX 77057 (Galleria-Uptown area)",Wood Mackenzie,"We provide insight combined with proprietary data, helping companies identify trends and take advantage of commercial opportunities....",4a121ff69c4c31db,"Research Analyst, PCI Fibers",,43.8,10,4 days,2016-10-17 21:37:10.011634
19,"Houston, TX",Rice University,"(1) data scientists who can make fundamental contributions to the theory, algorithms, and systems aspects of data science, and (2) scholars who work on emerging...",7f96a850263aed5c,Data Science Faculty,,53.4,82,3 days,2016-10-17 21:37:10.011634
20,"Houston, TX",Rice University,"(1) data scientists who can make fundamental contributions to the theory, algorithms, and systems aspects of data science, and (2) scholars who work on emerging...",50610a3399c805cf,Faculty in Data Science,,53.4,82,30+ days,2016-10-17 21:37:10.011634
21,"Houston, TX",University of Houston,Assembles data sets from multiple institutional sources. Compiles and analyzes data for strategic planning and program development....,9beb7a410c76d6d6,Institutional Research Analyst,,52.800003,405,3 days,2016-10-17 21:37:10.011634
22,"Houston, TX",EDF Trading North America LLC,"Rigorousand intuitive understanding of statistics, machine learning, regression modelsand optimization techniques Experiencedeveloping machine learning models...",8d95d4cf6f3bcb3b,Data Scientist,,,,30+ days,2016-10-17 21:37:10.011634
23,"Houston, TX",Panton,"Provide subject matter expertise and hands-on delivery of image or video processing, predictive analysis, and advanced data analytics projects....",75965b54cfc10fc4,Junior Data Scientist,,,,30+ days,2016-10-17 21:37:10.011634
24,"Houston, TX",SearchAccountingJobs,"Lead the review and care of relevant model and model validation documentation, complete in depth analysis on large data sets, and formulate analysis and reports...",e0acfbe2f2186614,Quantitative Risk Analyst,"$150,000 - $205,000 a year",,,5 days,2016-10-17 21:37:10.011634
25,"Pasadena, TX",California Institute of Technology,"Manage the organization of research funding and intellectual property associated with the research project, including data, grants, patents, and manuscripts....",e76eb267b2e940ac,Scientific Researcher,,51.6,64,5 days,2016-10-17 21:37:10.011634
26,"Houston, TX",UT Health Science Center at Houston,"Plans and performs quantitative and qualitative research procedures in various areas of biology, chemistry, physics, and other biomedical, dental, or related...",778cee93eb56e9be,Research Scientist,,43.2,79,3 days,2016-10-17 21:37:10.011634
27,"Houston, TX 77046 (Montrose area)",Gexa Energy LP,"Ability to code in a statistical analysis toolkit (SAS or R), and ability to pull data using SQL. This role will also participate in the development of economic...",e5dd0e38df864fe3,Principal Quantitative Analyst - Strategy & Business Develop...,,,,18 days,2016-10-17 21:37:10.011634
28,"Houston, TX",Schlumberger,"Successful Data Scientists can lead analytic teams, are familiar with statistical and machine learning algorithms including classification, and have good...",f0fd50de967cb4b8,Data Scientist,,51.0,2493,30+ days,2016-10-17 21:37:10.011634
29,"Houston, TX",Baylor College of Medicine,"Five years experience in biomedical research compliance, research, patient relations, health care, medical/academic setting, or communications....",3280acf386423b4e,Senior Research Policy Analyst,"$72,000 a year",51.0,174,27 days,2016-10-17 21:37:10.011634
30,"Houston, TX",Rice University,"And Microsoft Access (data joins, data cleaning, data mining) is preferred but not required. Demonstrated ability to manage multiple projects, solve problems,...",370534f19374f4ba,Development Research Analyst,,53.4,82,26 days,2016-10-17 21:37:10.011634
31,"Houston, TX",Oscar Technology,"Experience or education in Big Data, Data Mining, Machine Learning, Predictive/Prescriptive Analytics, Optimization, Exploratory Analysis & Visualization....",ceef7901a6d38d05,Data Scientist,,,,30+ days,2016-10-17 21:37:10.011634
32,"Houston, TX",MD Anderson Cancer Center,Analyze data to ensure integrity and efficiency. We are committed to our patients and aim line of sight for combining scientific excellence with industry...,55837f3738a6ca0b,"Institute Assoc Scientist II - Program Biology, ORBIT","$46,500 - $83,000 a year",51.6,250,30+ days,2016-10-17 21:37:10.011634
33,"Houston, TX",MD Anderson Cancer Center,"Management of associate scientists, strong scientific leadership and effective. The CCCT is a ground-breaking translational research team that partners with...",6e7d4a41a7434c5f,Institute Research Scientist - Translational Biomarker Disco...,,51.6,250,3 days,2016-10-17 21:37:10.011634
34,"Houston, TX 77032",Halliburton,"Perform data mining and analytics to support ongoing continuous risk monitoring and risk assessments of operational data to recognize patterns and trends,...",60ede58934818ae4,Predictive Modeling Data Scientist,,44.4,3031,30+ days,2016-10-17 21:37:10.011634
35,"Houston, TX",UT Health Science Center at Houston,"Results and findings are submitted through written research papers, public presentation at local or national meetings, or personal exchanges with faculty member...",c38d1d9ed76eb636,Research Scientist Sr.,,43.2,79,3 days,2016-10-17 21:37:10.011634
36,"Sugar Land, TX 77478",First Data,"First Data is committed to staying at the forefront of our industry, and we are innovating a wide range of next-generation commerce technology solutions to help...",d2dc42bf7d6b8f7c,Billing and Research Analyst,,42.6,1398,11 days,2016-10-17 21:37:10.011634
37,"Houston, TX",Baylor College of Medicine,Five years of clinical research or laboratory experience. Bachelor's degree in basic science or other relative scientific field....,67d44a5060b9bb68,Senior Research Quality Assurance Analyst,"$54,590 a year",51.0,174,6 days,2016-10-17 21:37:10.011634
38,"Houston, TX",Lonza,"All personnel should practice good sanitation and health habits. Develop, communicate and implement high-quality, cGMP-suitable assay transfer strategy based on...",d96bdb2ba1f746a0,Analytical Development Scientist III,,40.8,53,6 days,2016-10-17 21:37:10.011634
39,"Houston, TX",University of Houston,"Hand-on experience with scientific code development and optimization based on GPU ; The successful applicant should have the ability to work in a team oriented,...",91ec6392c26c4404,Research Scientist - HPC Application Specialist,,52.800003,405,24 days,2016-10-17 21:37:10.011634
40,"Houston, TX",MD Anderson Cancer Center,Work closely with research teams to identify and recommend opportunities leading to scientific discovery and clinical therapeutic drug development....,267f758122bed95e,Institute Research Scientist - In vitro Pharmacology,,51.6,250,30+ days,2016-10-17 21:37:10.011634
41,"Houston, TX",MD Anderson Cancer Center,The primary purpose of the Clinical Research Analyst-Quality Assurance position is to ensure the billing information in the Electronic Health Record (EHR)...,e2d1e35561bf1791,Clinical Research Analyst - Quality Assurance,,51.6,250,19 days,2016-10-17 21:37:10.011634
42,"Houston, TX",MD Anderson Cancer Center,"Establishing Project Technology Control Plans; Coordinating with faculty to review allegations, identify and collect relevant evidence, and prepare research...",3721665b1b21d0cd,Research Admin Analyst-Export Controls,,51.6,250,30+ days,2016-10-17 21:37:10.011634
43,"Houston, TX",MD Anderson Cancer Center,Must be able to read and comprehend scientific literature relevant to ongoing research to maintain a current understanding of the field and be able to introduce...,7d70f3a022e0361e,Research Assistant II- Lymphoma/Myeloma Research,,51.6,250,13 days,2016-10-17 21:37:10.011634
44,"Houston, TX",University of Houston,Two Postdoctoral / Research Scientist Positions Available. While the current focus is to solve problems in biology and medicine with novel physics and...,b01f4ed9a7a36400,Postdoctoral Fellow/Research Scientist Positions in Imaging,,52.800003,405,27 days,2016-10-17 21:37:10.011634
