,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Minneapolis, MN",Boston Technology Corporation,This role needs to bring experience and expertise with digital analytics and Big Data technologies in order to complete the following tasks:....,1f0616dafa9a8a31,Big Data Scientist,,,,13 days,2016-10-17 21:42:26.854409
1,"Minneapolis, MN",Digital Reasoning,"3+ professional experience with modeling and analysis, computational linguistics/NLP, semantic web technology, machine learning, and/or large-scale data mining....",fe5b0675b020b512,Data Scientist,,,,3 days,2016-10-17 21:42:26.854409
2,"Golden Valley, MN",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs....",af495fbe6239b68e,Analytic Data Scientist,,44.4,3477,11 days,2016-10-17 21:42:26.854409
3,"Golden Valley, MN",Honeywell,"Data modeling, mining, pattern analysis, data visualization and machine learning solutions to address customer needs. Principal Data Scientist....",7c7f503691def6a4,Principal Data Scientist,,44.4,3477,2 days,2016-10-17 21:42:26.854409
4,"Maplewood, MN",3M,"Familiarity with knowledge analytics and data mining. Ability to interact with scientists and managers, understand their technical or business needs....",ec35bcb654ae5362,"Advanced Technical Information Analyst* (Maplewood, MN) Job",,51.6,1414,30 days,2016-10-17 21:42:26.854409
5,"Minneapolis, MN",Pearl Knowledge Solutions,"Data Scientists leverage data visualization (KNIME, RapidMiner, Tableau, Spotfire, etc.), and analytic tools (R, Python, C++, Java, Scala, etc.)....",3fe7010c713d80c9,Data Scientist,,,,30+ days,2016-10-17 21:42:26.854409
6,"Minneapolis, MN 55426",General Mills,"Comfortable in basic statistical analysis, modeling, clustering and data mining techniques to identify trends and insights....",7b3a98f4ccc83b68,Data Scientist - Global Business Solutions,,51.0,560,21 days,2016-10-17 21:42:26.854409
7,"Minneapolis, MN",Ayasdi,"Data management and data extraction skills; Masters in a quantitative field (Mathematics, Statistics, Operations Research, Physics, Bioinformatics,...",02d2e873d32481a2,Data Scientist (Healthcare),,,,30+ days,2016-10-17 21:42:26.854409
8,"Minneapolis, MN",Parametric,"Preferred languages include R, Java, SQL, VBA, Matlab, Python, or C. All investments are subject to potential loss of principal....",a77248e12e393c1f,Quantitative Analyst,,,,17 days,2016-10-17 21:42:26.854409
9,"Golden Valley, MN",Honeywell,"With more than 127,000 employees worldwide, including more than 22,000 engineers and scientists, we have an unrelenting commitment to quality and delivering...",ab8344876f626d47,Intern/Research & Development Scientist,,44.4,3477,19 hours,2016-10-17 21:42:26.854409
10,"Eden Prairie, MN","C.H. Robinson Worldwide, Inc.","Automating analyses and authoring pipelines via SQL and Python based ETL framework Experience in development and use of databases, data models, data marts or...",05d743ebda06991f,Data Scientist,,42.0,281,12 days,2016-10-17 21:42:26.854409
11,"Eagan, MN",Ecolab,Ecolab is looking for a talented data scientist to work in a start-up like in-house innovation hub chartered with creating big data analytics and data science...,82cbeb4e41de26f4,Data Scientist,,42.6,574,30+ days,2016-10-17 21:42:26.854409
12,"Roseville, MN",Veritas Technologies,"An MS/PhD in Statistics, Machine learning or in a highly quantitative field 2+ years of related industrial experience Strong knowledge of Relational Data Base...",2930600fcf642197,Data Scientist,,40.8,15,30+ days,2016-10-17 21:42:26.854409
