,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Nashville, TN 37214 (Barclay Drive area)",Bridgestone Americas,"MS degree in Analytics, Statistics, or Mathematics fields and 3-6 years of Analytics experience or PhD degree and 2-4 years of Analytics experience....",00a21044a7a2fe34,Senior Statistical Analyst / Data Scientist,,44.4,488,12 days,2016-10-17 21:39:15.309536
1,"Nashville, TN",Digital Reasoning,"3+ professional experience with modeling and analysis, computational linguistics/NLP, semantic web technology, machine learning, and/or large-scale data mining....",05774c0418d36762,Data Scientist,,,,13 days,2016-10-17 21:39:15.309536
2,"Nashville, TN",SearchAccountingJobs,"Lead the review and care of relevant model and model validation documentation, complete in depth analysis on large data sets, and formulate analysis and reports...",43d28d1cf8efb608,Quantitative Analyst,"$150,000 - $205,000 a year",,,5 days,2016-10-17 21:39:15.309536
3,"Nashville, TN 37219",Intermedix,The Data Scientist reports directly to the SVP of Analytics and designated Data Scientists for work direction....,02aea3f12265ce93,Data Specialist,,40.2,109,17 days,2016-10-17 21:39:15.309536
4,"Nashville, TN 37232",Vanderbilt University Medical Center,"Under general supervision, provide support for social, economic, or health related research; Investigate, gather, assess and clarify data;...",d8e5e8c5424f4a9c,Research Analyst II,,42.6,7,5 days,2016-10-17 21:39:15.309536
5,"Franklin, TN 37067",Nissan,Utilizes expertise in statistical and machine learning methods using tools such as R and proficiency in big data infrastructures such as Hadoop to perform tasks...,ea2a7db0960a3bcc,Data Scientist,,44.4,674,30+ days,2016-10-17 21:39:15.309536
6,"Nashville, TN 37219",Intermedix,"Bachelors or higher degree in computer science, math, operations research, applied statistics, data mining, machine learning, physics, or a related quantitative...",c52cd0d45af2e02e,Data Scientist,,40.2,109,30+ days,2016-10-17 21:39:15.309536
7,"Nashville, TN 37232",Vanderbilt University Medical Center,"Gather data using data mining techniques and tools, analyze information, develop conclusions, communicate recommendations clearly and work effectively with...",b7cb7d8300dc9fcb,"Sr. Business Analyst, Statistician",,42.6,7,30+ days,2016-10-17 21:39:15.309536
8,"Nashville, TN",Asurion,"Serve as subject matter expert in survey analytics, Net Promoter Score (NPS) methodology, and support strategic projects that directly impact customer...",039db608f5da7510,Quantitative Analyst,,43.8,794,30+ days,2016-10-17 21:39:15.309536
9,"Nashville, TN",HCA Corporate,Work collaboratively with Data Scientists and business and IT leaders throughout the company to understand Big Data needs and use cases....,66b068c459dcca2a,Big Data Developer Lead,,43.8,681,28 days,2016-10-17 21:39:15.309536
10,"Nashville, TN 37232",Vanderbilt University Medical Center,Perform data entry and analysis. Follow up data collection according to established protocols. Collect and analyze participant/patient data from a variety of...,4280574567541036,Research Analyst I (Pediatric Endocrinology),,42.6,7,30+ days,2016-10-17 21:39:15.309536
11,"Nashville, TN",Sarah Cannon Network,"This position is responsible for statistical programming of SCRI clinical trials data. Experience with industry data standards, such as CDISC/SDTM, ADaM data...",637d3d2aac3e63f8,"Statistical Programmer, Work From Home",,41.4,17,19 days,2016-10-17 21:39:15.309536
12,"Nashville, TN",Permanent General Assurance Corp.,Advanced understanding of machine learning algorithms and data mining techniques (e.g. Support The General® in the disciplines of data science and analytics to...,7135a1cecebbe1ff,Data Scientist II,,43.2,3,30+ days,2016-10-17 21:39:15.309536
13,"Nashville, TN",Cigna,Collaborates with business stakeholders and subject area experts to define and document business requirements related to data quality....,b2f822f9dc2bc7cd,"Business Analysis Specialist, Data Quality",,43.8,1782,30+ days,2016-10-17 21:39:15.309536
14,"Nashville, TN",Digital Reasoning,"In addition to having a strong technical background in advanced mathematics, rapid prototyping, and statistical machine learning, Data Scientists are excellent...",2762d168562f1d55,Data Scientist-Business Development,,,,30+ days,2016-10-17 21:39:15.309536
