,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Philadelphia, PA",MeetMe,"Experience in data mining, machine learning, statistics, business analytics, and computational linguistics would be invaluable....",bb77d2f82fe66365,Data Scientist/Big Data Engineer,,,,4 days,2016-10-17 21:44:56.552748
1,"Philadelphia, PA",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist to join our...",37bde6fcc81a7c37,Data Scientist,,51.0,1768,3 days,2016-10-17 21:44:56.552748
2,"Plymouth Meeting, PA",QuintilesIMS,"Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry....",6d914185bb0803d7,Data Scientist,,44.4,439,2 days,2016-10-17 21:44:56.552748
3,"Philadelphia, PA",University of Pennsylvania,"Responsible for computational analysis of clinical data and biomedical research data using artificial intelligence (AI), machine learning (ML), and visual...",707b9b2159f3977d,DATA SCIENTIST,,52.199997,284,16 days,2016-10-17 21:44:56.552748
4,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,The Data Scientist I in The Children’s Hospital of Philadelphia’s Department of Biomedical and Health Informatics will perform exploratory data analysis with an...,49b388647394c872,DBHi Data Scientist I,,52.199997,263,6 days,2016-10-17 21:44:56.552748
5,"Philadelphia, PA",Temple University,"The Data Scientist/Developer, reporting to the University Registrar, will support Enrollment Management’s strategic planning activities and goals by researching...",13dc86265f7d5110,Data Scientist/Developer,,52.199997,210,5 days,2016-10-17 21:44:56.552748
6,"Malvern, PA",Siemens,"Proven success as data scientist/architect working with large data sets, preferably health data, and using analytics to drive growth of a service/product....",c48bf63f1a69718b,Data Scientist,,51.6,4063,15 days,2016-10-17 21:44:56.552748
7,"Philadelphia, PA",University of Pennsylvania,"Key services to coordinate include clinical data access, data cleaning and quality control, and the use of artificial intelligence (AI), machine learning (ML),...",1411f3f8649e6ba5,DATA SCIENTIST NAVIGATOR,,52.199997,284,16 days,2016-10-17 21:44:56.552748
8,"Philadelphia, PA",Susquehanna International Group,"You will be responsible for making our existing trading strategies better by applying your background, experience, and intuition to our data, driving our next...",7e6a09ccfd77ea12,Options Quantitative Analyst,,51.0,9,3 days,2016-10-17 21:44:56.552748
9,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,Must have minimum two years experience with clinical databases and clinical research. Participate in clinical research in disease and in other activities to...,fdbc67754b80655e,Research Data Analyst,,52.199997,263,6 days,2016-10-17 21:44:56.552748
10,"Philadelphia, PA",QuintilesIMS,"Collaborate extensively with business owners, subject matter experts, and go to market teams to develop and deliver analytics leveraging data asset to support...",a0edf7378d64c9ff,"Sr. Programmer / Sr. Statistician, Advanced Analytics",,44.4,439,6 days,2016-10-17 21:44:56.552748
11,"Philadelphia, PA",AmeriHealth Caritas,"We’re looking for the next generation of health care leaders. Defines problems, collects data, applies advanced economic and mathematical concepts, establishes...",2470d49d46345b49,Data Scientist,,40.2,117,12 days,2016-10-17 21:44:56.552748
12,"Philadelphia, PA",Emerson Howell Nagel & Associates,Statistical modeling and data mining experience. Experience working with large data sets. Develop architecture for managing data flows from external sources....,d0ab096cb75260cf,Quantitative Analyst,,,,4 days,2016-10-17 21:44:56.552748
13,"Philadelphia, PA",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. Five years of professional experience working as a Data...",5d23c4eed8f51c85,Data Scientist - Financial Services,,51.0,1768,25 days,2016-10-17 21:44:56.552748
14,"Philadelphia, PA",Reed Elsevier,"Our cutting edge technology enables scientists, health professionals, and students to make critical decisions, enhance productivity, and improve outcomes....",57cdf3fcdd2d2195,Technology Graduate Entry Scheme: Software Engineer 1,,42.6,32,6 hours,2016-10-17 21:44:56.552748
15,"Philadelphia, PA",Public Health Management Corporation,"PhD or equivalent doctoral degree in public health, human development, psychology, behavioral health, criminal justice, health services or related field....",fdd86f7296a33248,Research Scientist,,40.2,33,6 days,2016-10-17 21:44:56.552748
16,"Plymouth Meeting, PA",IMS Health,"Apply machine learning, data mining technologies in developing innovative solutions in pharmaceutical industry....",0aa270b42ade129d,Data Scientist,,44.4,439,30 days,2016-10-17 21:44:56.552748
17,"Philadelphia, PA",HealthVerity,"Collaborate with other engineers, data scientists, and product/business stakeholders to proactively communicate results....",b0a8fbefe9ab273e,Healthcare Data Privacy Research Scientist,,,,30+ days,2016-10-17 21:44:56.552748
18,"Philadelphia, PA 19104 (Belmont area)",Children's Hospital of Philadelphia,"MS biostatistics, statistics, clinical epidemiology, health services research, economics or a related field. The analyst works closely with senior statisticians...",2ab90aab02a16d37,Research Statistician I,,52.199997,263,6 days,2016-10-17 21:44:56.552748
19,"Philadelphia, PA",Reed Elsevier,The successful candidate will develop specialized systems for completing machine learning assisted tasks and will develop recommendation engines and other...,f6c29b2b160dbcd1,Software Engineer - Machine Learning,,42.6,32,30+ days,2016-10-17 21:44:56.552748
20,"Philadelphia, PA",Independence Blue Cross,"Serving nearly 10 million people in 25 states and the District of Columbia, including 2.5 million in southeastern Pennsylvania, Independence Health Group is the...",235463eef611e1d4,Value-Based Research Analyst,,43.8,344,4 days,2016-10-17 21:44:56.552748
21,"Philadelphia, PA",Willis Towers Watson,"Building upon our existing advanced analytics and data provisions services, RCS is currently broadening its big data predictive analytics capabilities and is...",c1c9550c8428a746,Data Analytics Manager,,44.4,217,9 days,2016-10-17 21:44:56.552748
22,"Wilmington, DE",DuPont,For bringing Machine Learning and advanced Data Analytics methods to bear on. Statistical Data Mining. Experience in cutting-edge Data Analytics....,461cc15307eed80c,Bioinformatics Scientist – Data Analytics,,51.0,437,7 days,2016-10-17 21:44:56.552748
23,"King of Prussia, PA",INC Research,Performs Quality Control to ensure that outputs meet quality standards and project requirements. Experience with clinical trials preferred....,e347735ec7dfd7db,Statistical Programmer II,,42.0,84,11 days,2016-10-17 21:44:56.552748
24,"Philadelphia, PA",Reed Elsevier,Experience using data analysis techniques like predictive (regression) modeling and with machine learning including supervised or unsupervised learning...,e73354ba3a493a2d,Analytics-Technical Team Lead,,42.6,32,8 days,2016-10-17 21:44:56.552748
25,"King of Prussia, PA 19406",J2 Solutions,"J2 Solutions is seeking a SAS Programmer to join one of our growing clients. We are looking for a talented, team-oriented, and motivated individual to join",842e3f9e2a95b0d8,Statistical Programmer,,,,10 hours,2016-10-17 21:44:56.552748
26,"Newtown Square, PA",SAP,The application of data science techniques in SAP customer projects is extremely diverse and ranges from supply chain optimization solutions over point-of-sales...,34c152c6de5f695d,Data Scientist - SAP Custom Development Job,,52.800003,405,18 days,2016-10-17 21:44:56.552748
27,"Philadelphia, PA",Reed Elsevier,"Data analytics experience working with a variety of data sources. A global company based in Amsterdam, Elsevier partners with scientists, researchers,...",691471ac4ff076ef,Data Scientist,,42.6,32,30+ days,2016-10-17 21:44:56.552748
28,"Plymouth Meeting, PA",IMS Health,"Multivariate analysis, regression analysis and forecasting, sampling, data modeling, R programming, machine learning, SPSS....",99523aa675d04053,Statistician,,44.4,439,30 days,2016-10-17 21:44:56.552748
29,"Philadelphia, PA",National Board of Medical Examiners,"Protection of the health of the public through state-of-the-art assessment of health professionals is the mission of the NBME, along with a major commitment to...",c08c71017d153173,Data Analysis Manager,,51.0,6,10 days,2016-10-17 21:44:56.552748
