,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date
0,"Washington, DC",LivingSocial,Utilize large-scale data mining and machine learning techniques to discover actionable patterns in the data....,e96b19140804b7b4,Data Scientist,,42.6,132,3 days,2016-10-17 21:32:25.026828
1,"Washington, DC",Capgemini Government Solutions,"Data Wrangler/Data Scientist will provide evidence-based analytics, robust data solutions, and effectively communicate data insights to client stake holders....",ac11dc750c408fe6,Data Wrangler / Data Scientist,,43.8,2002,4 days,2016-10-17 21:32:25.026828
2,"Washington, DC 20036 (Downtown area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",12320fb4639cedc3,Data Scientist,,51.0,1768,3 days,2016-10-17 21:32:25.026828
3,"McLean, VA","Consulting Services Group, LLC","Data Scientist McLean, Virginia. The candidate will help develop novel analytical approaches for parsing bulk internet data sets, develop data mining algorithms...",f091c6b4baf7a1a5,Data Scientist,,,,7 hours,2016-10-17 21:32:25.026828
4,"Washington, DC",The Advisory Board Company,The Advisory Board Company is an Affirmative Action and Equal Opportunity Employer. EOE AA M/F/Vet/Disability,e9b321b7b39c2cf5,Data Scientist,,42.6,69,4 days,2016-10-17 21:32:25.026828
5,"Washington, DC",Booz Allen Hamilton,3 years of experience with data science. Knowledge of trained and untrained machine learning approaches. Applicants selected will be subject to a security...,9fe2cf2a269f2450,Data Scientist,,44.4,946,12 days,2016-10-17 21:32:25.026828
6,"Washington, DC",ISPA Technology,"Ability to merge data sources together, ensure consistency of data-sets, frame visualization techniques to aid in understanding data, build mathematical models...",97e307cadea01e59,Data Scientist,,,,17 days,2016-10-17 21:32:25.026828
7,"Washington, DC",Clearsoft Inc.,"Data governance, data architecture, data engineering, data operations, data mining, and data analysis services....",d5e82dfc3b7a0302,Data Scientist,,,,6 days,2016-10-17 21:32:25.026828
8,"Silver Spring, MD 20904",Verizon,"As our data scientist, you will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics...",98cb008f2c5788bd,Data Scientist,,44.4,11117,19 days,2016-10-17 21:32:25.026828
9,"Washington, DC",Social Tables,Developing a myriad of statistical and machine learning models for everything from classification to real-time prediction using a mix of internal and external...,47030b8a20220b9d,Data Scientist,,,,14 days,2016-10-17 21:32:25.026828
10,"Arlington, VA 22201 (Lyon Village area)",In-Q-Tel,"The Lab is looking for a highly experienced data scientist to design, develop, test and evaluate unique machine learning algorithms for exploiting large raster...",c68c5c14576bce30,Data Scientist,,42.0,2,10 days,2016-10-17 21:32:25.026828
11,"Arlington, VA","Sotera Defense Solutions, Inc.","The Data Scientist will work with a diverse team of highly skilled Analysts, Software Engineers, Mathematicians, Economists, and other Data Scientists....",160d458864e85107,Data Scientist,,,,10 days,2016-10-17 21:32:25.026828
12,"Washington, DC",Sprinklr,Sprinklr is seeking a Data Scientist or NLP/ML Engineer to join our Machine Learning and Human Language Technology/NLP team....,a9d98e9e8d370d21,Data Scientist - NLP/ML Engineer,,43.2,6,13 days,2016-10-17 21:32:25.026828
13,"Washington, DC 20036 (Downtown area)",Nexant,Apply economic and statistical knowledge to evaluate large-scale datasets in support of client projects and regulatory filings Efficiently work on projects to...,fa07dc479eb2b103,Project Analyst I (Quantitative/Statistical),,41.4,20,4 days,2016-10-17 21:32:25.026828
14,"Washington, DC",Centra Technology,"CENTRA offers a full range of benefits, including competitive salary, comprehensive health plan including dental coverage, company-paid life & disability...",b8a79162f9570db6,"Quantitative Analyst (Junior, Mid-level, Senior-level)",,42.0,2,3 days,2016-10-17 21:32:25.026828
15,"Washington, DC",CRGT Inc.,Salient CRGT is seeking a Statistician to join our Data Analytics division. Conduct ad hoc data queries to answer complex data inquiries;....,fa5eff7b00b062f5,Data Analyst 4 (Statistician),,41.4,49,4 days,2016-10-17 21:32:25.026828
16,"Washington, DC",Salient CRGT,Salient CRGT is seeking a Statistician to join our Data Analytics division. Conduct ad hoc data queries to answer complex data inquiries;....,dc7608cfb6dd8d34,Data Analyst 4 (Statistician),,42.6,5,5 days,2016-10-17 21:32:25.026828
17,"Washington, DC 20004 (Downtown area)",Intrepid Solutions,The Data Scientist Analyst will support the development and implementation of a CIO-wide business data analytics strategy to increase insights the CIO can...,8fa5304b4fee97a9,Data Scientist Analyst,,,,13 days,2016-10-17 21:32:25.026828
18,"Falls Church, VA 22041",Northrop Grumman,"Experience with quantitative and qualitative analytics, data mining and modeling, statistical analysis, and visualization tools....",ea8cd67ce4f02d81,Data Scientist 3,,51.0,2126,13 days,2016-10-17 21:32:25.026828
