,Company,Job,Location,Salary,Sponsored,Sal_Stat,job_type
19,    Department Of The Interior,"Statistician, GS-1530-12 (DEU-PERM-DS)","Lakewood, CO",87792,False,0,other
36,    Mental Health Center of Denver,Financial Data Scientist,"Denver, CO",75000,False,0,sct_type
99,    Denver Public Schools,SENIOR RESEARCH ANALYST,"Denver, CO",68983,False,0,other
105,    Workbridge Associates,Mid-Level Data Scientist,"Chicago, IL",105000,False,0,sct_type
110,    Workbridge Associates,Data Scientist,"Chicago, IL",95000,False,0,sct_type
111,    All-In Analytics,Machine Learning Data Scientist,"Chicago, IL",132500,False,1,sct_type
118,    Etech Hi Inc.,Sr. Statistician,"Chicago, IL",85000,False,0,sr_type
129,    Seeking Alpha Search International,QUANTITATIVE MODEL VALIDATION ANALYST,"Chicago, IL",155000,False,1,other
144,    Workbridge Associates,Senior Data Scientist,"Chicago, IL",150000,False,1,sr_type
162,    Hirewell,Data Scientist,"Deerfield, IL",125000,False,1,sct_type
169,    Workbridge Associates,Natural Language Processing Scientist,"Chicago, IL",145000,False,1,sct_type
171,    North shore Staffing Group,Business Data Analyst,"Chicago, IL",95000,False,0,an_type
176,    CREhire.com,Principal Statistical Analyst / Data Scientist,"Bloomingdale, IL",138300,False,1,an_type
195,    Etech Hi Inc.,Statistician,"Chicago, IL",71000,False,0,other
201,    Medlytic,Data Scientist / Bioinformatics (co-founder),"San Francisco, CA",110000,False,0,sct_type
202,    kWh Analytics,Data Scientist,"San Francisco, CA",120000,False,1,sct_type
209,    Selby Jennings,Business Intelligence/Data Scientist at VC Bay Area Start-up,"San Francisco, CA",160000,False,1,sct_type
212,    MarkMonitor,Data Scientist,"San Francisco Bay Area, CA",180000,False,1,sct_type
222,    Mines.io,Full-Stack Data Scientist,"San Francisco, CA",100000,False,0,sct_type
238,    Workbridge Associates,Senior Data Scientist,"San Francisco, CA",150000,False,1,sr_type
243,    Workbridge Associates,Data Scientist,"San Francisco, CA",165000,False,1,sct_type
301,    ResourceHunt Group,Senior Research Scientist,"Yaphank, NY",125000,False,1,sr_type
320,    Averity,Senior Data Scientist ($150k),"New York, NY",150000,False,1,sr_type
326,    Oliver James Associates,Data Scientist,"New York, NY",185000,False,1,sct_type
329,    All-In Analytics,Machine Learning Data Scientist,"New York, NY",132500,False,1,sct_type
336,    Empiric Solutions,Data Scientist - Advertising Analytics,"New York, NY",130000,False,1,sct_type
344,    Selby Jennings,Data Scientist,"New York, NY",150000,False,1,sct_type
366,    Columbia University,SENIOR RESEARCH STAFF ASSISTANT,"New York, NY",45000,False,0,other
372,    TalentHub Worldwide,Data Scientist,"New York, NY",105000,False,0,sct_type
380,    Empiric Solutions,Lead Data Scientist,"New York, NY",150000,False,1,sr_type
403,    Utah Valley University,Analyst 1 - Data and Research,"Orem, UT",39586,False,0,an_type
487,    Department of Defense,HEALTH CARE DATA ANALYST,"Aurora, CO",123364,False,1,other
494,    Department Of The Interior,"Statistician, GS-1530-12 (DEU-PERM-DS)","Lakewood, CO",87792,False,0,other
497,    University of Colorado,Senior PRA,"Aurora, CO",70000,False,0,sr_type
511,    Mental Health Center of Denver,Financial Data Scientist,"Denver, CO",75000,False,0,sct_type
566,    Denver Public Schools,SENIOR RESEARCH ANALYST,"Denver, CO",68983,False,0,other
570,    Denver Health,Assistant Research Scientist - RADARS,"Denver, CO",93645,False,0,sct_type
582,    Centers for Disease Control and Prevention,Mathematical Statistician,"Fort Collins, CO",87792,False,0,other
583,    Department Of The Interior,"Operations Research Analyst (Data Scientist), GS-1515-11 (DE...","Fort Collins, CO",73244,False,0,an_type
584,    Department Of The Interior,Ecologist GS-0408-13/14 (DEU - PERM - JG),"Fort Collins, CO",115118,False,0,other
